zion.mg: 100 mx3.mail.ovh.net.
zion.mg: 5 mx2.mail.ovh.net.
zion.mg: 1 mx1.mail.ovh.net.
spareroom.mg: 10 mail.spareroom.mg.
adra.mg: 10 mail.adra.mg.
newgen.mg: 10 mail.newgen.mg.
hub.mg: 0 hub.mg.
coca-cola.mg: 100 mx3.mail.ovh.net.
coca-cola.mg: 1 mx1.mail.ovh.net.
coca-cola.mg: 5 mx2.mail.ovh.net.
redzone.mg: 10 mail.redzone.mg.
kic.mg: 10 _dc-mx.5458afee7e18.kic.mg.
moi.mg: 0 moi.mg.
clarity.mg: 0 mail.clarity.mg.
hi.mg: 20 mail2.anonaddy.me.
hi.mg: 10 mail.anonaddy.me.
finda.mg: 0 finda.mg.
bpo.mg: 0 server.bpo.mg.
alfa.mg: 0 alfa.mg.
cmc.mg: 5 mx1.tambazotra.net.
cmc.mg: 5 mx2.tambazotra.net.
cmc.mg: 20 mx3.tambazotra.net.
moe.mg: 20 in2-smtp.messagingengine.com.
moe.mg: 10 in1-smtp.messagingengine.com.
lab.mg: 0 lab.mg.
azimut.mg: 10 mail.azimut.mg.
kis.mg: 10 mx3.mail.ovh.net.
kis.mg: 1 mx4.mail.ovh.net.
tui.mg: 0 .
rand.mg: 100 mx3.mail.ovh.net.
rand.mg: 5 mx2.mail.ovh.net.
rand.mg: 1 mx1.mail.ovh.net.
stk.mg: 0 stk.mg.
stadt.mg: 20 mx01.udag.de.
stadt.mg: 10 mx00.udag.de.
onlineshop.mg: 10 mail.onlineshop.mg.
panda.mg: 10 mail.panda.mg.
lift.mg: 10 mail.lift.mg.
artemis.mg: 0 artemis-mg.mail.protection.outlook.com.
asa.mg: 5 mx1.tambazotra.net.
asa.mg: 5 mx2.tambazotra.net.
asa.mg: 20 mx3.tambazotra.net.
reference.mg: 10 mail.reference.mg.
regus.mg: 20 relay2.netnames.net.
regus.mg: 10 relay1.netnames.net.
dsautomobiles.mg: 50 fb.mail.gandi.net.
dsautomobiles.mg: 10 spool.mail.gandi.net.
bata.mg: 10 smtp.bata.com.
code.mg: 10 mail.protonmail.ch.
code.mg: 20 mailsec.protonmail.ch.
upa.mg: 10 mail.upa.mg.
timelapse.mg: 10 mail.timelapse.mg.
alt.mg: 10 mail.alt.mg.
fonbet.mg: 10 MAIL.101DOMAIN.COM.
canaveral.mg: 50 fb.mail.gandi.net.
canaveral.mg: 10 spool.mail.gandi.net.
existence.mg: 10 mx2.hostinger.com.
existence.mg: 5 mx1.hostinger.com.
newlife.mg: 10 mail.newlife.mg.
omnis.mg: 0 mail.omnis.mg.
capsule.mg: 5 alt2.aspmx.l.google.com.
capsule.mg: 5 alt1.aspmx.l.google.com.
capsule.mg: 10 alt4.aspmx.l.google.com.
capsule.mg: 1 aspmx.l.google.com.
capsule.mg: 10 alt3.aspmx.l.google.com.
cosmos.mg: 0 mail.cosmos.mg.
amadeus.mg: 0 amadeus-mg.mail.protection.outlook.com.
jenny.mg: 10 mail.jenny.mg.
coworking.mg: 0 coworking.mg.
simo.mg: 10 mail.simo.mg.
cloud.mg: 1 mysrv.hostadom.net.
almaz.mg: 100 mx3.mail.ovh.net.
almaz.mg: 1 mx1.mail.ovh.net.
almaz.mg: 5 mx2.mail.ovh.net.
amc.mg: 1 ASPMX.L.GOOGLE.COM.
amc.mg: 10 ALT3.ASPMX.L.GOOGLE.COM.
amc.mg: 5 ALT2.ASPMX.L.GOOGLE.COM.
amc.mg: 5 ALT1.ASPMX.L.GOOGLE.COM.
amc.mg: 10 ALT4.ASPMX.L.GOOGLE.COM.
construct.mg: 10 mail.construct.mg.
spotify.mg: 1 aspmx.l.google.com.
spotify.mg: 5 alt2.aspmx.l.google.com.
spotify.mg: 10 alt4.aspmx.l.google.com.
spotify.mg: 5 alt1.aspmx.l.google.com.
spotify.mg: 10 alt3.aspmx.l.google.com.
api.mg: 30 mx.api.mg.
annonces.mg: 5 mx1.hostinger.com.
annonces.mg: 10 mx2.hostinger.com.
singa.mg: 10 mail.singa.mg.
nic.mg: 1 SMTP.GOOGLE.COM.
buy.mg: 0 localhost.
ols.mg: 10 mail.ols.mg.
ergon.mg: 10 mail.ergon.mg.
faith.mg: 10 mail.faith.mg.
brains.mg: 10 mail.brains.mg.
saba.mg: 0 saba.mg.
mms.mg: 0 mms-mg.mail.protection.outlook.com.
tas.mg: 10 mail.tas.mg.
bbs.mg: 5 mx2.tambazotra.net.
bbs.mg: 10 mx3.tambazotra.net.
bbs.mg: 5 mx1.tambazotra.net.
fes.mg: 10 ALT4.ASPMX.L.GOOGLE.COM.
fes.mg: 5 ALT2.ASPMX.L.GOOGLE.COM.
fes.mg: 10 ALT3.ASPMX.L.GOOGLE.COM.
fes.mg: 5 ALT1.ASPMX.L.GOOGLE.COM.
fes.mg: 1 ASPMX.L.GOOGLE.COM.
lead.mg: 0 mail.lead.mg.
k2.mg: 5 mta-gw.infomaniak.ch.
hashtag.mg: 10 mail.hashtag.mg.
newvision.mg: 10 mail.newvision.mg.
fnac.mg: 10 custmx.cscdns.net.
cfa.mg: 5 mx2.mail.ovh.net.
cfa.mg: 1 mx1.mail.ovh.net.
cfa.mg: 100 mx3.mail.ovh.net.
astro.mg: 0 astro.mg.
steam.mg: 10 mail.steam.mg.
talent.mg: 20 mx2.maileroo.com.
talent.mg: 10 mx1.maileroo.com.
interact.mg: 10 mail.interact.mg.
plume.mg: 10 mail.plume.mg.
immo.mg: 10 mta-gw.infomaniak.ch.
mec.mg: 0 mec.mg.
what.mg: 0 what.mg.
digitec.mg: 10 mail.digitec.mg.
ebuero.mg: 10 mail.ebuero.mg.
marketo.mg: 10 mail.marketo.mg.
cara.mg: 10 mail.cara.mg.
travel.mg: 10 travel.mg.
fda.mg: 10 mail.fda.mg.
buzz.mg: 10 mail.buzz.mg.
aiai.mg: 10 mail.aiai.mg.
aro.mg: 0 aro-mg.mail.protection.outlook.com.
alef.mg: 46 route1.mx.cloudflare.net.
alef.mg: 70 route2.mx.cloudflare.net.
alef.mg: 29 route3.mx.cloudflare.net.
rdb.mg: 0 rdb.mg.
mini.mg: 10 mail.mini.mg.
feat.mg: 0 feat.mg.
digital.mg: 10 mail.digital.mg.
join.mg: 10 mail.join.mg.
advogado.mg: 0 localhost.
trio.mg: 0 mail.trio.mg.
merck.mg: 0 .
ace.mg: 10 mail.ace.mg.
aviasales.mg: 10 mail.aviasales.mg.
smol.mg: 10 mail.smol.mg.
kat.mg: 10 mail.kat.mg.
abs.mg: 10 mail.abs.mg.
serenity.mg: 10 alt4.aspmx.l.google.com.
serenity.mg: 5 alt1.aspmx.l.google.com.
serenity.mg: 10 alt3.aspmx.l.google.com.
serenity.mg: 5 alt2.aspmx.l.google.com.
serenity.mg: 1 aspmx.l.google.com.
thescore.mg: 10 MAIL.101DOMAIN.COM.
zo.mg: 10 spool.mail.gandi.net.
zo.mg: 50 fb.mail.gandi.net.
space.mg: 0 space.mg.
developer.mg: 0 developer.mg.
adventist.mg: 10 mail.adventist.mg.
nextlevel.mg: 0 nextlevel.mg.
turkcell.mg: 10 MAIL.101DOMAIN.COM.
ony.mg: 10 mx3.mail.ovh.net.
ony.mg: 1 mx4.mail.ovh.net.
dss.mg: 5 mx-int10.stellarix.africa.
dss.mg: 20 mx2.stellarix.africa.
hexagone.mg: 0 hexagone.mg.
lewis.mg: 5 mx-int10.dts.mg.
lewis.mg: 20 mx2.tgn.mg.
cua.mg: 0 cua.mg.
artcom.mg: 0 mail.artcom.mg.
paripesa.mg: 10 mx1.netim.net.
paripesa.mg: 10 mx2.netim.net.
appdev.mg: 10 mail.appdev.mg.
jacaranda.mg: 0 jacaranda.mg.
limitless.mg: 10 mail.limitless.mg.
ia.mg: 0 ia.mg.
fmp.mg: 0 fmp.mg.
austral.mg: 20 mx3.tambazotra.net.
austral.mg: 5 mx2.tambazotra.net.
austral.mg: 5 mx1.tambazotra.net.
cite.mg: 0 cite.mg.
tmt.mg: 10 mail.waffapo.com.
synapse.mg: 0 synapse.mg.
lemuria.mg: 10 mx2.hostinger.com.
lemuria.mg: 5 mx1.hostinger.com.
equinox.mg: 0 equinox.mg.
phoenix.mg: 0 phoenix.mg.
epique.mg: 0 epique.mg.
jay.mg: 20 mx2.tgn.mg.
jay.mg: 5 mx-int10.dts.mg.
intra.mg: 0 intra.mg.
ciel.mg: 0 ciel.mg.
prism.mg: 1 mx1.mail.ovh.net.
prism.mg: 100 mx3.mail.ovh.net.
prism.mg: 5 mx2.mail.ovh.net.
leroymerlin.mg: 20 mx3.tambazotra.net.
leroymerlin.mg: 5 mx1.tambazotra.net.
leroymerlin.mg: 5 mx2.tambazotra.net.
mtr.mg: 10 mail.mtr.mg.
consultant.mg: 0 consultant.mg.
eshop.mg: 10 mail.eshop.mg.
metaverse.mg: 0 metaverse.mg.
nicolas.mg: 10 mailb.iptwins.com.
osiris.mg: 0 osiris.mg.
ryze.mg: 0 ryze-mg.mail.protection.outlook.com.
crossfit.mg: 10 MAIL.101DOMAIN.COM.
viceversa.mg: 0 viceversa.mg.
alstom.mg: 0 mx3.nameshield.com.
alstom.mg: 10 mx4.nameshield.net.
ego.mg: 0 ma.illi.co.mg.
ego.mg: 10 ns55.dot.mg.
drupal.mg: 10 mail.drupal.mg.
library.mg: 10 mx1.beget.com.
library.mg: 20 mx2.beget.com.
michaud.mg: 10 michaud-mg.mail.protection.outlook.com.
domyos.mg: 50 fb.mail.gandi.net.
domyos.mg: 10 spool.mail.gandi.net.
sam.mg: 0 sam.mg.
cac.mg: 0 cac.mg.
edm.mg: 0 edm-mg.mail.protection.outlook.com.
edm.mg: 10 mail.edm.mg.
geologic.mg: 50 fb.mail.gandi.net.
geologic.mg: 10 spool.mail.gandi.net.
secure.mg: 0 mail.secure.mg.
atria.mg: 0 atria.mg.
bfm.mg: 50 smtp5.bfm.mg.
bfm.mg: 20 smtp3.bfm.mg.
bfm.mg: 10 smtp4.bfm.mg.
lily.mg: 0 _dc-mx.11ef0c75ae5d.lily.mg.
jumia.mg: 30 aspmx3.googlemail.com.
jumia.mg: 30 aspmx4.googlemail.com.
jumia.mg: 10 aspmx.l.google.com.
jumia.mg: 20 alt2.aspmx.l.google.com.
jumia.mg: 30 aspmx2.googlemail.com.
jumia.mg: 20 alt3.aspmx.l.google.com.
jumia.mg: 30 aspmx5.googlemail.com.
gourmet.mg: 5 mx1.tambazotra.net.
gourmet.mg: 20 mx3.tambazotra.net.
gourmet.mg: 5 mx2.tambazotra.net.
cercle.mg: 0 cercle.mg.
mps.mg: 5 mx-int10.stellarix.africa.
mps.mg: 20 mx2.stellarix.africa.
fusion.mg: 0 ma.illi.co.mg.
fusion.mg: 10 mx30.dot.mg.
ccb.mg: 0 mail.ccb.mg.
banks.mg: 0 localhost.
mapi.mg: 10 mail.mapi.mg.
tiktok.mg: 0 localhost.
hff.mg: 5 alt2.aspmx.l.google.com.
hff.mg: 10 alt3.aspmx.l.google.com.
hff.mg: 5 alt1.aspmx.l.google.com.
hff.mg: 1 aspmx.l.google.com.
hff.mg: 10 alt4.aspmx.l.google.com.
tbc.mg: 10 mx2.zoho.com.
