identity.com.bd: 10 mail.identity.com.bd.
cgs.com.bd: 1 aspmx.l.google.com.
cgs.com.bd: 5 alt2.aspmx.l.google.com.
cgs.com.bd: 5 alt1.aspmx.l.google.com.
cgs.com.bd: 10 aspmx2.googlemail.com.
cgs.com.bd: 10 aspmx3.googlemail.com.
morningstar.com.bd: 1 bh.markmonitor.com.
trendy.com.bd: 0 trendy.com.bd.
ssl.com.bd: 1 aspmx.l.google.com.
marken.com.bd: 10 custmx.cscdns.net.
easyshop.com.bd: 0 easyshop.com.bd.
sparkit.com.bd: 10 alt4.aspmx.l.google.com.
sparkit.com.bd: 1 aspmx.l.google.com.
sparkit.com.bd: 10 alt3.aspmx.l.google.com.
sparkit.com.bd: 5 alt2.aspmx.l.google.com.
sparkit.com.bd: 5 alt1.aspmx.l.google.com.
kompass.com.bd: 1 smtp.google.com.
victor.com.bd: 20 mx2.zoho.com.
victor.com.bd: 50 mx3.zoho.com.
victor.com.bd: 10 mx.zoho.com.
scs.com.bd: 0 scs.com.bd.
tutorial.com.bd: 10 mail.tutorial.com.bd.
rana.com.bd: 14 route3.mx.cloudflare.net.
rana.com.bd: 90 route1.mx.cloudflare.net.
rana.com.bd: 50 route2.mx.cloudflare.net.
bili.com.bd: 5 alt1.mymailcheap.com.
bili.com.bd: 1 mail.bili.com.bd.
bili.com.bd: 10 alt2.mymailcheap.com.
monarch.com.bd: 10 mx.zoho.com.
monarch.com.bd: 50 mx3.zoho.com.
monarch.com.bd: 20 mx2.zoho.com.
unify.com.bd: 0 unify.com.bd.
godigital.com.bd: 10 mail2.godigital.com.bd.
godigital.com.bd: 5 mail.godigital.com.bd.
zara.com.bd: 5 mx1-hosting.jellyfish.systems.
zara.com.bd: 10 mx2-hosting.jellyfish.systems.
zara.com.bd: 20 mx3-hosting.jellyfish.systems.
jcc.com.bd: 20 mx3-hosting.jellyfish.systems.
jcc.com.bd: 5 mx1-hosting.jellyfish.systems.
jcc.com.bd: 10 mx2-hosting.jellyfish.systems.
techhub.com.bd: 10 mx.zoho.com.
techhub.com.bd: 20 mx2.zoho.com.
techhub.com.bd: 50 mx3.zoho.com.
upskill.com.bd: 10 inbound-smtp.us-east-1.amazonaws.com.
popup.com.bd: 50 mx3.zoho.com.
popup.com.bd: 10 mx.zoho.com.
popup.com.bd: 20 mx2.zoho.com.
fold.com.bd: 83 route1.mx.cloudflare.net.
