my.id	PONYNET (AS53667)	9
NSONE	GOOGLE (AS15169)	3
indosite.com	LEASEWEB SINGAPORE PTE. LTD. (AS59253)	7
arenhost.com	PT Ikubaru Indonesia (AS135444)	18
ardetamedia.com	NAMECHEAP-NET (AS22612)	7
nic.ru	Jsc ru-center (AS48287)	20
PT JC Indonesia	PT Atria Teknologi Indonesia (AS134612)	1
Host Europe GmbH	Wow Internet Indonesia (AS58381)	1
web.id	PT Cloud Hosting Indonesia (AS136052)	9
registrar-servers.com	COMCAST-7922 (AS7922)	5
Emirates Telecommunications Group Company (etisalat Group) Pjsc	Tilda Publishing Ltd. (AS205282)	4
CLOUDFLARENET	SAKURA Internet Inc. (AS9370)	1
registrar-servers.com	AMAZON-AES (AS14618)	26
bnamed.eu	AMAZON-02 (AS16509)	2
AMAZON-02	ATT-INTERNET4 (AS7018)	3
voinews.id	PT Qwords Company International (AS58404)	1
whoisdomain.kr	NAVER BUSINESS PLATFORM ASIA PACIFIC PTE. LTD. (AS135354)	83
co.uk	AMAZON-02 (AS16509)	32
SEDO GmbH	SEDO GmbH (AS47846)	35
registrar-servers.com	CLOUDFLARENET (AS13335)	59
perf1.com	Nameshield SAS (AS20756)	18
co.id	PT Cloud Teknologi Nusantara (AS137331)	8
CLOUDFLARENET	CV. Rumahweb Indonesia (AS58487)	154
Contabo GmbH	Contabo Asia Private Limited (AS141995)	53
LEASEWEB SINGAPORE PTE. LTD.	PT Medialink Global Mandiri (AS64297)	1
AS-VULTR	LEASEWEB HONG KONG LIMITED (AS133752)	20
PT Cloud Hosting Indonesia	DIGITALOCEAN-ASN (AS14061)	33
CLOUDFLARENET	PT Perwira Media Solusi (AS211407)	11
lautanhosting.com	PT Awan Data Teknologi (AS151592)	12
CLOUDFLARENET	PT. Arupa Cloud Nusantara (AS137286)	5
dac-indonesia.id	PT Mega Mentari Mandiri (AS63501)	1
sikita.net	PT. Beon Intermedia (AS55688)	1
decor.id	PT Maxindo Mitra Solusi (AS38320)	1
PT Cloud Hosting Indonesia	PT Telekomunikasi Indonesia (AS7713)	9
registrar-servers.com	Wix.com Ltd. (AS58182)	9
CV. Saranaindo	CV. Saranaindo (AS138876)	22
PT Qwords Company International	Contabo Asia Private Limited (AS141995)	1
rumahweb.biz	Contabo Asia Private Limited (AS141995)	31
AMAZON-02	Cloudflare London, LLC (AS209242)	19
dracoola.net	APIK Media Networks (AS58820)	48
registrar-servers.com	Hostinger International Limited (AS47583)	9
masterweb.com	PT Superspace Teknologi Indonesia (AS142354)	1
CLOUDFLARENET	PT Deneva (AS138115)	84
one.com	One.com A/S (AS51468)	50
ktm-tech.id	PT. Beon Intermedia (AS55688)	1
dracoola.net	Elite Techno Solution (AS211014)	20
kritikpublik.com	PT. Drupadi Prima (AS59147)	1
mysrsx.biz	PT Cloud Hosting Indonesia (AS136052)	8
CLOUDFLARENET	PT. KINEZ CREATIVE SOLUTIONS (AS137311)	1
da.direct	OVH SAS (AS16276)	4
Host Europe GmbH	AUTOMATTIC (AS2635)	3
CLOUDFLARENET	PT Telekomunikasi Indonesia (AS7713)	35
rumahweb.biz	Alibaba US Technology Co., Ltd. (AS45102)	69
masterweb.com	GOOGLE (AS15169)	58
PT DES Teknologi Informasi	PT DES Teknologi Informasi (AS45302)	14
AMAZON-02	Team Internet AG (AS206834)	27
thesimpledns.com	Exabytes Network Singapore Pte. Ltd. (AS38532)	4
Host Europe GmbH	EXIGO-EPIC (AS32413)	1
Host Europe GmbH	GOOGLE-CLOUD-PLATFORM (AS396982)	25
nusantarahost.com	PT. Jupiter Jala Arta (AS131775)	58
cloudns.net	AS-VULTR (AS20473)	3
net.id	PT Media Sarana Data (AS55666)	23
satuweb.id	LEASEWEB SINGAPORE PTE. LTD. (AS59253)	2
markmonitor.com	Corpex Internet GmbH (AS39227)	2
co.id	WHG Hosting Services Ltd (AS204800)	18
MICROSOFT-CORP-MSN-AS-BLOCK	Akenes SA (AS61098)	8
WII	WII (AS32097)	56
inmotionhosting.com	IMH-IAD (AS54641)	5
AMAZON-02	GOOGLE-CLOUD-PLATFORM (AS396982)	60
PT Biznet Gio Nusantara	GOOGLE-CLOUD-PLATFORM (AS396982)	6
hsbgroup.id	PT Infinys System Indonesia (AS58397)	1
CLOUDFLARENET	NAMECHEAP-NET (AS22612)	44
ARDH GLOBAL INDONESIA, PT	WEBNX (AS18450)	9
netim.net	JSC ER-Telecom Holding (AS41733)	9
rumahweb.com	DIGITALOCEAN-ASN (AS14061)	29
MICROSOFT-CORP-MSN-AS-BLOCK	SUCURI-SEC (AS30148)	2
rumahweb.biz	Hostinger International Limited (AS47583)	58
Trellian Pty. Limited	Trellian Pty. Limited (AS133618)	57
Host Europe GmbH	Cloudflare London, LLC (AS209242)	19
tanammaju.id	OVH SAS (AS16276)	1
fluffster.info	DIGITALOCEAN-ASN (AS14061)	1
Host Europe GmbH	AS-26496-GO-DADDY-COM-LLC (AS26496)	60
CLOUDFLARENET	AS-COLOCROSSING (AS36352)	70
co.id	Pacific Link Indonesia (AS4855)	1
CLOUDFLARENET	PT Qwords Company International (AS58404)	7
Pengelola Nama Domain Internet Indonesia	DIGITALOCEAN-ASN (AS14061)	1
world4you.at	Telekom Austria (AS8447)	3
net.id	PT. Cyberindo Mega Persada (AS132644)	13
GOOGLE-CLOUD-PLATFORM	GOOGLE-CLOUD-PLATFORM (AS396982)	38
co.id	PT. Gaharu Sejahtera (AS4833)	2
masterweb.com	GOOGLE-CLOUD-PLATFORM (AS396982)	8
AMAZON-02	GOOGLE (AS15169)	151
indowebsite.net	OVH SAS (AS16276)	48
megatambang.id	OVH SAS (AS16276)	1
CLOUDFLARENET	LEASEWEB HONG KONG LIMITED (AS133752)	9
CLOUDFLARENET	ESTOXY OU (AS3920)	3
dnsprotect.com	DIMENOC (AS33182)	3
rumahweb.biz	PT Biznet Gio Nusantara (AS133800)	50
Host Europe GmbH	NTT COMMUNICATIONS INDIA NETWORK SERVICES PRIVATE LIMITED (AS17439)	1
CLOUDFLARENET	PT. Cybertechtonic Pratama (AS131745)	27
