=== 数据来源: uy ===
  MX: webhostinghub.com                 1   5.88%

[NS 提供商] dynu.com，域名数 14
  MX: GOOGLE                            4  28.57%
  MX: estudiocarvi.uy                   1   7.14%
  MX: decodesa.com                      1   7.14%
  MX: enconsulta.uy                     1   7.14%
  MX: aiot.uy                           1   7.14%

[NS 提供商] NTHL，域名数 14
  MX: fecoac.uy                         1   7.14%
  MX: logo.uy                           1   7.14%
  MX: mediataxi.uy                      1   7.14%
  MX: infocom.uy                        1   7.14%
  MX: lab.uy                            1   7.14%

[NS 提供商] linode.com，域名数 14
  MX: ZOHO-AS                           3  21.43%
  MX: y-ahora-que.uy                    1   7.14%
  MX: ZOHO Corporation B.V              1   7.14%
  MX: com.uy                            1   7.14%
  MX: sensabits.com                     1   7.14%

[NS 提供商] DIGITALOCEAN-ASN，域名数 14
  MX: frialaporcelana.uy                1   7.14%
  MX: crearla.uy                        1   7.14%
  MX: recreart.uy                       1   7.14%
  MX: empowerlab.uy                     1   7.14%
  MX: sersa.uy                          1   7.14%

[NS 提供商] register.it，域名数 14
  MX: Register S.p.A.                  10  71.43%
  MX: webnode.com                       4  28.57%

[NS 提供商] BIZLAND-SD，域名数 14
  MX: sobreciencia.uy                   1   7.14%
  MX: dp.uy                             1   7.14%
  MX: grupoatom.uy                      1   7.14%
  MX: leads.uy                          1   7.14%
  MX: ideasoftware.uy                   1   7.14%

[NS 提供商] afraid.org，域名数 13
  MX: GOOGLE                            2  15.38%
  MX: choco.uy                          1   7.69%
  MX: NAMECHEAP-NET                     1   7.69%
  MX: descuentacheques.uy               1   7.69%
  MX: maly.uy                           1   7.69%

[NS 提供商] sedoparking.com，域名数 13
  MX: localhost                        13 100.00%

[NS 提供商] registrar-servers.com，域名数 12
  MX: GOOGLE                            4  33.33%
  MX: shaman.uy                         2  16.67%
  MX: NAMECHEAP-NET                     2  16.67%
  MX: pseudo.uy                         1   8.33%
  MX: web-hosting.com                   1   8.33%

[NS 提供商] servconfig.com，域名数 12
  MX: sinintermediarios.uy              1   8.33%
  MX: MICROSOFT-CORP-MSN-AS-BLOCK       1   8.33%
  MX: mozbackup.uy                      1   8.33%
  MX: gracemz.uy                        1   8.33%
  MX: softickets.uy                     1   8.33%

[NS 提供商] ICDSoft Ltd.，域名数 11
  MX: latribu.uy                        1   9.09%
  MX: valetodo.uy                       1   9.09%
  MX: ingenieriacontraincendios.uy      1   9.09%
  MX: nosoyplastico.uy                  1   9.09%
  MX: bigbang.uy                        1   9.09%

[NS 提供商] AS-VULTR，域名数 11
  MX: ZOHO-AS                           2  18.18%
  MX: lubela.uy                         1   9.09%
  MX: delysoft.com                      1   9.09%
  MX: esentzia.uy                       1   9.09%
  MX: colibri.uy                        1   9.09%

[NS 提供商] servidoraweb.net，域名数 11
  MX: GOOGLE                            2  18.18%
  MX: imback.uy                         1   9.09%
  MX: ideagrafica.uy                    1   9.09%
  MX: strom.uy                          1   9.09%
  MX: clemur.uy                         1   9.09%

[NS 提供商] acens Technologies, S.L.，域名数 11
  MX: tempelgroup.com                   2  18.18%
  MX: lactovit.uy                       1   9.09%
  MX: disa.uy                           1   9.09%
  MX: durulte.uy                        1   9.09%
  MX: pibank.uy                         1   9.09%

[NS 提供商] AUTOMATTIC，域名数 11
  MX: wordpress.com                     5  45.45%
  MX: GOOGLE                            3  27.27%
  MX: AUTOMATTIC                        3  27.27%

[NS 提供商] lonex.com，域名数 11
  MX: LIQUIDNETLTD1                    11 100.00%

[NS 提供商] site4now.net，域名数 10
  MX: AMAZON-02                        10 100.00%

[NS 提供商] HURRICANE，域名数 10
  MX: MICROSOFT-CORP-MSN-AS-BLOCK       5  50.00%
  MX: GOOGLE                            3  30.00%
  MX: xt6.us                            1  10.00%
